restaurant_id,name,cuisine,address,taxi_zone_id,taxi_zone_name,estimated_area_sqft,capacity,turnover_rate,takeaway_ratio,eat_in_ratio,effective_supply_index,dropoff_count,effective_demand,congestion_score,estimated_wait_minutes,nyc_datetime,weather_factor
50130705,7TH STREET BURGER,Hamburgers,"485 7 AVENUE, MANHATTAN, NY 10018",100,Garment District,840.0,69.72,2.5,0.6,0.4,69.72000000000001,539,15.41547698672152,0.22110552189789898,0.0,,
50143911,HOEXTER'S,New American,"174 EAST   82 STREET, MANHATTAN, NY 10028",236,Upper East Side North,2392.8,119.64,0.8,0.05,0.95,90.92640000000002,1188,78.67505154865393,0.8652608213748033,0.16671658408439638,,
50125620,CHI RESTAURANT & BAR,Chinese,"492 9 AVENUE, MANHATTAN, NY 10018",68,East Chelsea,3779.0,226.74,1.2,0.3,0.7,190.4616,862,32.77479396467016,0.17208084970760593,0.0,,
50168022,MAMAN,French,"3 WEST   18 STREET, MANHATTAN, NY 10011",234,Union Sq,6000.0,300.0,0.8,0.05,0.95,228.0,707,32.74974823599337,0.14363924664909375,0.0,,
50095112,GYU-KAKU,Japanese,"620 AMSTERDAM AVENUE, MANHATTAN, NY 10024",238,Upper West Side North,2005.35,110.29425,1.0,0.15,0.85,93.7501125,524,55.98940890728626,0.5972196450141461,0.0,,
50175392,FARINA ON 2ND,Italian,"254 EAST   89 STREET, MANHATTAN, NY 10128",263,Yorkville West,1360.0,74.8,1.0,0.1,0.9,67.32,533,38.15270167459532,0.5667365073469299,0.0,,
50123383,STARBUCKS,American,"620 8 AVENUE, MANHATTAN, NY 10018",100,Garment District,200.0,12.0,1.2,0.2,0.8,11.52,539,26.83990434853772,2.329852808032788,18.922323891142977,,
50107643,MIMI'S PIZZA,Pizza,"217 EAST   86 STREET, MANHATTAN, NY 10028",263,Yorkville West,2160.0,144.72,1.8,0.5,0.5,130.248,533,23.84005717465054,0.183035879051122,0.0,,
50170362,LA CABRA,Coffee/Tea,"284 LAFAYETTE STREET, MANHATTAN, NY 10012",144,Little Italy/NoLiTa,1875.0,155.625,3.0,0.7,0.3,140.06250000000003,475,10.773602707721102,0.07691996578471111,0.0,,
50166760,MIDO OMAKASE WEST VILLAGE,Japanese,"88 WEST    3 STREET, MANHATTAN, NY 10012",114,Greenwich Village South,554.0,30.47,1.0,0.15,0.85,25.8995,361,22.04930536860352,0.851340966760112,0.11633116125703358,,
50171511,THE COFFEE HAUS,Other,"162 EAST   37 STREET, MANHATTAN, NY 10016",170,Murray Hill,360.0,21.6,1.1,0.2,0.8,19.008,846,38.10319352301197,2.0045872013369093,13.220788777524684,,
50174163,KOO THAI,Thai,"917 COLUMBUS AVENUE, MANHATTAN, NY 10025",151,Manhattan Valley,719.5,39.5725,1.0,0.15,0.85,33.636624999999995,246,39.36656244282544,1.1703481678921546,2.2537996173282826,,
50172319,LESLIE,American,"514 3 AVENUE, MANHATTAN, NY 10016",170,Murray Hill,310.0,18.6,1.2,0.2,0.8,17.855999999999998,846,38.10319352301197,2.1339154078747744,15.406090105425916,,
50178024,ADOBO MEXICAN GRILL,Other,"2675 BROADWAY, MANHATTAN, NY 10025",151,Manhattan Valley,400.0,24.0,1.1,0.2,0.8,21.120000000000005,246,37.502855980768395,1.7757034081803214,9.637773886083668,,
50172505,THE THROWBACK,American,"710 AMSTERDAM AVENUE, MANHATTAN, NY 10025",238,Upper West Side North,960.0,57.6,1.2,0.2,0.8,55.29599999999999,524,53.338737456386404,0.9646039036528214,0.6678211909183668,,
50167100,SALVATORE S NY PIZZA,Pizza,"924 COLUMBUS AVENUE, MANHATTAN, NY 10025",151,Manhattan Valley,1200.0,80.4,1.8,0.5,0.5,72.36000000000001,246,25.749473651102512,0.3558523169030197,0.0,,
50177414,CHIPOTLE MEXICAN GRILL #3056,Tex-Mex,"600 3 AVENUE, MANHATTAN, NY 10016",170,Murray Hill,200.0,13.4,1.8,0.4,0.6,14.472,846,30.269858249753216,2.0916154125036774,14.679113484966884,,
50176535,YO YO CHICKEN,Chicken,"934 AMSTERDAM AVENUE, MANHATTAN, NY 10025",151,Manhattan Valley,504.0,33.768,2.0,0.5,0.5,33.768,246,25.749473651102512,0.7625406790778996,0.0,,
50153452,GRATA THAI CUISINE,Thai,"1099 1 AVENUE, MANHATTAN, NY 10065",141,Lenox Hill West,717.2,39.446000000000005,1.0,0.15,0.85,33.52910000000001,644,43.88039690515667,1.3087257607617462,3.628487195684313,,
50170324,SHAKE SHACK #1688,Hamburgers,"30 ROCKEFELLER PLAZA, MANHATTAN, NY 10112",161,Midtown Center,425.9953125,35.357610937500006,2.5,0.6,0.4,35.357610937500006,1222,20.584930341247667,0.5821923426227718,0.0,,
50172318,LANDMARK CAFE/NEW YORK GIFTS,Coffee/Tea,"44 WEST   34 STREET, MANHATTAN, NY 10001",164,Midtown South,2430.0,201.69,3.0,0.7,0.3,181.521,745,10.115004362574638,0.05572360422526671,0.0,,
50179252,HONEYBRAINS,Coffee/Tea,"495 AMSTERDAM AVENUE, MANHATTAN, NY 10024",239,Upper West Side South,700.0,58.1,3.0,0.7,0.3,52.29000000000001,830,20.11112333116394,0.3846074456141506,0.0,,
50171127,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads","322 7 AVENUE, MANHATTAN, NY 10001",186,Penn Station/Madison Sq West,8000.0,664.0,3.0,0.8,0.1999999999999999,398.3999999999999,695,12.720607288459568,0.03192923516179611,0.0,,
50169274,LOBEL'S ORIGINAL,Sandwiches/Salads/Mixed Buffet,"30 ROCKEFELLER PLAZA, MANHATTAN, NY 10112",161,Midtown Center,425.9953125,35.357610937500006,2.5,0.6,0.4,35.357610937500006,1222,20.584930341247667,0.5821923426227718,0.0,,
50165750,HARLEM BUBBLE TEA LIMITED,Coffee/Tea,"22 EAST  125 STREET, MANHATTAN, NY 10035",74,East Harlem North,1833.0,152.139,3.0,0.7,0.3,136.92510000000004,309,11.531783824641739,0.08421964873234881,0.0,,
50048540,LA COLOMBE,Coffee/Tea,"154 PRINCE STREET, MANHATTAN, NY 10012",211,SoHo,1309.6,108.6968,3.0,0.7,0.3,97.82712,521,19.868532547169504,0.20309841020740982,0.0,,
50155794,CRAVE FISHBAR,Seafood,"1462 2 AVENUE, MANHATTAN, NY 10075",141,Lenox Hill West,1587.5,79.375,0.8,0.05,0.95,60.325,644,47.96387813215377,0.795091224735247,0.0,,
